Date,Notes,Zip_76574,Zip_78605,Zip_78610,Zip_78612,Zip_78613,Zip_78615,Zip_78616,Zip_78617,Zip_78620,Zip_78621,Zip_78626,Zip_78628,Zip_78634,Zip_78640,Zip_78641,Zip_78642,Zip_78644,Zip_78645,Zip_78652,Zip_78653,Zip_78654,Zip_78660,Zip_78663,Zip_78664,Zip_78665,Zip_78669,Zip_78681,Zip_78701,Zip_78702,Zip_78703,Zip_78704,Zip_78705,Zip_78712,Zip_78717,Zip_78719,Zip_78721,Zip_78722,Zip_78723,Zip_78724,Zip_78725,Zip_78726,Zip_78727,Zip_78728,Zip_78729,Zip_78730,Zip_78731,Zip_78732,Zip_78733,Zip_78734,Zip_78735,Zip_78736,Zip_78737,Zip_78738,Zip_78739,Zip_78741,Zip_78742,Zip_78744,Zip_78745,Zip_78746,Zip_78747,Zip_78748,Zip_78749,Zip_78750,Zip_78751,Zip_78752,Zip_78753,Zip_78754,Zip_78756,Zip_78757,Zip_78758,Zip_78759,FID
2020/03/26 17:00:00+00,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,3,4,11,9,0,0,0,0,1,2,3,0,0,0,1,1,1,0,9,0,3,2,2,0,0,0,1,5,2,8,3,6,8,4,2,2,3,2,3,1,2,5,4,5,74
2020/03/27 17:00:00+00,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,6,0,0,0,1,0,9,7,12,8,1,0,1,0,1,3,3,0,0,0,2,1,3,0,11,0,3,2,3,0,2,5,3,9,0,3,6,10,4,3,2,2,4,2,3,2,2,8,4,5,114
2020/03/28 17:00:00+00,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2,0,8,0,0,0,1,0,8,8,12,8,2,0,1,0,1,3,3,0,0,0,2,2,3,0,13,0,3,2,3,0,2,5,3,10,0,4,5,11,5,7,2,3,4,2,3,2,2,8,5,6,115
2020/03/29 17:00:00+00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,13,11,2,0,1,0,1,3,3,0,0,0,3,2,3,0,13,0,4,2,3,0,2,7,3,11,0,5,5,14,5,7,2,3,5,3,4,2,2,8,5,6,116
2020/03/30 17:00:00+00,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,9,0,0,1,1,0,9,8,14,13,3,0,2,0,1,3,3,0,0,0,2,2,2,0,14,0,4,2,3,0,2,7,4,10,0,5,6,14,6,7,2,3,5,3,4,1,2,7,5,6,117
2020/03/31 17:00:00+00,,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,1,2,0,13,0,0,0,1,0,12,9,15,13,10,0,1,0,1,3,4,1,1,0,3,2,3,0,16,0,4,2,3,0,2,8,4,11,0,8,6,15,7,11,3,3,5,4,4,2,2,10,6,6,118
2020/04/01 17:00:00+00,,0,0,1,0,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,2,0,12,0,0,0,1,0,13,10,16,17,31,0,0,2,1,3,5,2,1,0,3,2,3,1,16,0,4,4,4,0,2,8,4,13,0,10,7,18,7,18,3,3,7,4,5,2,2,10,10,7,119
2020/04/02 17:00:00+00,,0,0,1,0,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,4,0,15,0,1,0,1,0,13,12,18,20,40,0,3,0,2,3,5,2,2,1,4,2,4,1,17,1,4,4,4,0,2,9,5,13,0,10,10,19,7,20,3,4,7,6,6,2,2,10,14,7,120
2020/04/03 17:00:00+00,,0,0,1,0,2,0,0,4,1,1,0,0,0,1,1,0,0,0,1,9,0,20,0,2,0,1,0,15,11,21,25,43,0,4,0,2,3,7,4,3,1,4,2,3,1,19,3,4,5,5,1,3,9,5,19,0,20,11,22,11,25,6,6,10,6,7,3,2,10,16,9,121
2020/04/04 17:00:00+00,,0,1,2,1,5,0,0,21,1,2,1,0,2,3,1,0,0,3,1,16,0,54,0,4,0,4,0,41,14,36,55,55,0,5,1,7,5,15,20,9,4,9,15,6,2,22,6,8,11,6,2,6,14,7,67,1,63,25,35,27,74,11,10,15,43,27,4,4,18,44,17,122
2020/04/05 17:00:00+00,,0,0,1,0,2,0,0,7,1,1,0,0,0,1,1,0,0,0,1,8,0,23,0,3,0,1,0,12,13,23,27,50,0,4,0,2,4,8,5,3,1,4,2,4,1,18,4,5,5,6,1,2,11,5,21,0,24,13,29,13,26,6,6,11,7,13,3,2,11,20,11,123
2020/04/06 17:00:00+00,,0,0,1,0,2,0,0,8,1,1,0,0,1,2,1,0,0,0,1,9,0,25,0,3,0,1,0,13,13,23,27,51,0,4,0,2,4,8,5,4,1,4,2,4,1,19,4,5,5,7,1,2,11,5,24,0,24,15,28,15,27,6,6,11,8,14,3,2,12,18,10,124
2020/04/07 17:00:00+00,,0,0,1,0,2,0,0,11,1,1,0,0,2,2,1,0,0,0,1,9,0,30,0,3,0,1,0,13,13,23,31,55,0,4,0,3,4,7,5,5,1,4,5,4,1,20,5,5,6,7,1,4,11,6,27,0,28,21,28,15,32,7,6,12,8,14,3,2,13,22,12,125
2020/04/08 17:00:00+00,,0,0,1,1,2,0,0,11,1,1,0,0,2,2,1,0,0,0,1,11,0,31,0,3,0,3,0,14,13,23,34,55,0,4,0,3,4,7,8,6,1,4,7,4,1,20,5,8,6,6,1,4,11,6,32,0,33,22,33,17,34,7,6,12,9,15,3,2,14,24,12,126
2020/04/09 17:00:00+00,,0,0,1,1,5,0,0,13,0,1,0,0,0,0,1,0,0,0,1,11,0,37,0,4,0,0,0,15,13,30,38,55,0,4,0,4,4,7,12,6,1,5,8,4,1,20,6,8,7,6,1,4,12,6,34,0,37,24,33,19,39,7,7,12,9,16,3,2,14,22,12,127
2020/04/10 17:00:00+00,,0,0,1,1,4,0,0,15,1,1,0,0,0,0,0,0,0,0,0,13,0,36,0,4,0,0,0,19,12,30,41,54,0,4,0,4,4,10,15,6,1,5,8,4,1,21,6,8,8,6,1,4,12,7,45,0,40,22,34,20,43,7,7,14,9,20,3,2,15,27,15,128
2020/04/11 17:00:00+00,,0,0,1,1,1,0,0,17,1,1,0,0,0,0,1,1,0,0,0,0,0,0,13,39,4,1,0,22,12,33,43,54,0,3,0,5,4,11,18,7,2,8,10,2,1,21,6,8,7,5,1,4,13,7,47,0,45,23,34,21,49,8,6,15,13,21,3,2,16,32,14,129
2020/04/12 17:00:00+00,,0,0,1,1,1,0,0,17,1,1,0,0,0,0,1,1,0,2,0,13,0,41,0,4,0,3,0,19,13,33,43,55,0,3,0,5,4,12,18,7,2,8,10,2,1,21,6,8,8,5,2,4,13,7,49,0,44,25,34,21,58,8,6,16,14,22,3,2,16,31,15,130
2020/04/13 17:00:00+00,,0,1,1,1,4,0,0,19,1,1,1,0,2,2,1,1,0,3,1,14,0,43,0,4,0,4,0,34,12,35,48,55,0,5,0,6,5,12,20,8,2,8,14,4,1,22,6,8,11,6,2,5,14,7,57,0,51,23,34,24,71,11,8,16,16,23,3,3,18,37,16,131
2020/04/14 17:00:00+00,,0,0,1,2,1,4,20,1,1,2,1,0,2,3,1,0,0,3,1,15,0,48,0,4,0,4,0,33,13,35,50,55,5,1,6,5,14,20,9,2,8,14,5,1,22,6,8,11,6,2,0,6,14,7,63,1,55,24,35,26,71,11,9,16,25,26,3,4,18,38,16,132
2020/04/15 17:00:00+00,,0,1,2,1,5,0,0,21,1,2,1,0,2,3,1,0,0,3,1,16,0,54,0,4,0,4,0,41,14,36,55,55,0,5,1,7,5,15,20,9,4,9,15,6,2,22,6,8,11,6,2,6,14,7,67,1,63,25,35,27,74,11,10,15,43,27,4,4,18,44,17,133
